0	-38.687496	0.012597	0.037736
1	-66.051399	0.000495	0.006289
2	-72.527382	0.000171	0.056604
3	-68.315315	0.000293	0.012579
4	-62.243317	0.000572	0.012579
5	-68.113365	0.000444	0.006289
6	-63.436409	0.000448	0.025157
7	-69.912109	0.000302	0.031447
8	-71.321831	0.000297	0.018868
9	-62.786957	0.000509	0.012579
10	-65.012207	0.000387	0.006289
11	-66.865730	0.000399	0.018868
12	-68.444756	0.000288	0.018868
13	-71.652679	0.000315	0.000000
14	-67.004051	0.000480	0.000000
15	-70.626175	0.000322	0.006289
16	-66.761047	0.000383	0.006289
17	-73.002533	0.000236	0.037736
18	-67.131462	0.000317	0.037736
19	-73.607307	0.000254	0.025157
20	-67.928810	0.000494	0.012579
21	-57.754856	0.000838	0.012579
22	-66.582146	0.000348	0.031447
23	-67.055809	0.000435	0.006289
24	-71.278603	0.000288	0.006289
25	-68.233322	0.000317	0.006289
26	-67.312477	0.000317	0.000000
27	-67.100037	0.000285	0.031447
28	-63.303078	0.000538	0.012579
29	-65.640022	0.000306	0.037736
30	-71.187553	0.000360	0.025157
31	-66.658943	0.000386	0.031447
32	-68.264893	0.000304	0.012579
33	-62.829453	0.000647	0.000000
34	-77.206909	0.000165	0.044025
35	-60.839184	0.000751	0.000000
36	-71.551422	0.000192	0.044025
37	-70.270859	0.000184	0.031447
38	-73.672462	0.000229	0.031447
39	-67.588898	0.000327	0.025157
40	-75.297974	0.000189	0.081761
41	-66.245552	0.000277	0.025157
42	-69.329437	0.000227	0.044025
43	-73.874069	0.000207	0.012579
44	-65.395226	0.000585	0.000000
45	-67.274635	0.000443	0.000000
46	-60.810909	0.000925	0.000000
47	-66.609673	0.000355	0.018868
48	-65.481461	0.000452	0.000000
49	-62.589264	0.000565	0.006289
50	-67.420601	0.000392	0.012579
51	-67.292007	0.000302	0.018868
52	-69.859497	0.000260	0.069182
53	-66.123497	0.000406	0.031447
54	-69.419807	0.000496	0.031447
55	-69.938042	0.000407	0.006289
56	-69.041618	0.000257	0.018868
57	-72.510971	0.000223	0.037736
58	-70.945305	0.000484	0.018868
59	-66.273056	0.000446	0.025157
60	-69.502754	0.000331	0.012579
61	-68.524597	0.000258	0.031447
62	-66.643478	0.000449	0.018868
63	-64.876328	0.000496	0.012579
64	-67.087242	0.000358	0.000000
65	-70.810318	0.000270	0.018868
66	-66.731766	0.000492	0.012579
67	-67.749039	0.000401	0.006289
68	-66.011322	0.000332	0.018868
69	-62.098595	0.000647	0.006289
70	-61.412449	0.000476	0.018868
71	-60.175423	0.000740	0.012579
72	-64.141884	0.000430	0.031447
73	-69.954010	0.000389	0.031447
74	-64.077904	0.000547	0.006289
75	-66.320061	0.000320	0.018868
76	-75.163040	0.000131	0.037736
77	-72.472160	0.000249	0.037736
78	-71.487190	0.000283	0.031447
79	-70.284752	0.000236	0.031447
80	-71.772614	0.000259	0.031447
81	-66.380035	0.000330	0.006289
82	-69.221107	0.000345	0.006289
83	-69.482491	0.000355	0.000000
84	-66.441017	0.000370	0.018868
85	-71.560394	0.000446	0.025157
86	-68.291435	0.000378	0.031447
87	-70.862389	0.000223	0.037736
88	-67.680771	0.000453	0.012579
89	-61.971561	0.000607	0.025157
90	-61.654968	0.000527	0.012579
91	-70.262589	0.000247	0.094340
92	-68.824455	0.000315	0.050314
93	-60.447205	0.000610	0.025157
94	-63.509731	0.000581	0.006289
95	-59.837711	0.000723	0.012579
96	-60.849045	0.000763	0.006289
97	-66.257545	0.000554	0.018868
98	-69.531288	0.000344	0.037736
99	-65.253593	0.000443	0.025157
100	-63.347363	0.000572	0.006289
101	-66.831665	0.000371	0.050314
102	-62.923206	0.000640	0.006289
103	-68.253502	0.000473	0.006289
104	-64.975830	0.000529	0.000000
105	-70.493690	0.000230	0.050314
106	-68.499878	0.000349	0.018868
107	-68.482605	0.000291	0.050314
108	-70.338913	0.000337	0.025157
109	-69.112206	0.000454	0.006289
110	-62.423267	0.000614	0.018868
111	-60.228050	0.000680	0.000000
112	-56.179245	0.000959	0.018868
113	-63.318359	0.000836	0.025157
114	-58.683727	0.001213	0.037736
115	-51.441319	0.001778	0.075472
116	-52.642754	0.002334	0.081761
117	-50.826828	0.001997	0.081761
118	-52.167561	0.002231	0.075472
119	-49.942638	0.002603	0.106918
120	-48.565487	0.003175	0.094340
121	-50.932835	0.002602	0.125786
122	-47.419930	0.003922	0.050314
123	-44.184444	0.004775	0.069182
124	-45.241837	0.004443	0.132075
125	-44.813488	0.005063	0.088050
126	-43.008289	0.005331	0.075472
127	-43.846176	0.005311	0.069182
128	-43.168495	0.005112	0.100629
129	-43.814610	0.005100	0.081761
130	-46.377834	0.004191	0.075472
131	-47.516285	0.003442	0.113208
132	-47.974583	0.003034	0.081761
133	-50.401913	0.002177	0.075472
134	-51.170307	0.002151	0.094340
135	-57.052742	0.001089	0.062893
136	-57.260468	0.001315	0.069182
137	-54.623554	0.001482	0.069182
138	-54.714180	0.001444	0.075472
139	-60.051037	0.001007	0.069182
140	-58.881256	0.000938	0.050314
141	-52.008244	0.002157	0.044025
142	-56.024086	0.001551	0.062893
143	-52.263523	0.002154	0.044025
144	-49.109726	0.002956	0.025157
145	-53.405216	0.002016	0.037736
146	-52.567543	0.002165	0.037736
147	-51.822910	0.001637	0.037736
148	-53.789009	0.001217	0.069182
149	-57.981941	0.001273	0.050314
150	-49.667828	0.002805	0.031447
151	-45.623466	0.005184	0.025157
152	-47.753651	0.003695	0.044025
153	-47.142014	0.003295	0.044025
154	-44.526672	0.005243	0.025157
155	-48.490715	0.004066	0.056604
156	-48.960125	0.002631	0.056604
157	-49.970570	0.002735	0.069182
158	-53.101929	0.001850	0.069182
159	-49.142956	0.002217	0.062893
160	-52.758270	0.001786	0.056604
161	-49.011463	0.003049	0.031447
162	-49.404194	0.002774	0.056604
163	-45.532269	0.004036	0.050314
164	-43.015026	0.006327	0.037736
165	-42.147606	0.006660	0.069182
166	-40.943707	0.007483	0.050314
167	-41.464733	0.006360	0.069182
168	-44.057087	0.005887	0.062893
169	-45.058170	0.004619	0.069182
170	-47.121243	0.004723	0.056604
171	-42.907120	0.004795	0.075472
172	-48.258553	0.003560	0.100629
173	-42.688805	0.006421	0.056604
174	-44.921070	0.005673	0.062893
175	-44.584843	0.006073	0.044025
176	-48.241695	0.003840	0.075472
177	-49.151299	0.003488	0.069182
178	-47.167091	0.003912	0.100629
179	-47.818043	0.003633	0.044025
180	-49.606632	0.002605	0.094340
181	-49.236572	0.002725	0.094340
182	-47.136208	0.002543	0.050314
183	-48.443554	0.003496	0.044025
184	-46.761402	0.002743	0.075472
185	-53.533215	0.001538	0.119497
186	-52.073513	0.002206	0.088050
187	-50.878075	0.002469	0.044025
188	-50.432102	0.002646	0.069182
189	-51.212791	0.001997	0.094340
190	-48.314663	0.002795	0.081761
191	-47.522377	0.003083	0.075472
192	-50.107502	0.002247	0.094340
193	-55.103779	0.002124	0.113208
194	-51.115875	0.002303	0.069182
195	-52.028500	0.002002	0.037736
196	-52.810085	0.001671	0.081761
197	-54.729355	0.001435	0.094340
198	-55.634140	0.001256	0.094340
199	-50.007786	0.002058	0.069182
200	-56.596436	0.001267	0.100629
201	-52.105873	0.001793	0.094340
202	-51.337276	0.001691	0.050314
203	-52.855450	0.001570	0.062893
204	-54.967384	0.001681	0.044025
205	-52.035961	0.001408	0.081761
206	-54.399403	0.001765	0.050314
207	-57.998314	0.000872	0.088050
208	-56.951683	0.000920	0.106918
209	-55.387897	0.001189	0.056604
210	-56.746010	0.001066	0.056604
211	-56.688427	0.000990	0.069182
212	-57.733543	0.001074	0.037736
213	-58.213898	0.000983	0.031447
214	-63.315239	0.000643	0.050314
215	-61.968880	0.000763	0.056604
216	-59.998062	0.000683	0.069182
217	-63.779663	0.000645	0.062893
218	-61.410408	0.000808	0.037736
219	-66.671066	0.000382	0.037736
220	-63.119965	0.000503	0.006289
221	-58.036842	0.000833	0.025157
222	-65.462166	0.000502	0.012579
223	-67.441093	0.000569	0.018868
224	-59.836857	0.000724	0.012579
225	-63.449863	0.000616	0.006289
226	-59.826363	0.000925	0.006289
227	-68.055862	0.000447	0.031447
228	-68.067970	0.000433	0.018868
229	-67.649590	0.000412	0.012579
230	-60.298489	0.000713	0.006289
231	-61.696640	0.000929	0.031447
232	-57.014446	0.001100	0.006289
233	-54.933098	0.001668	0.012579
234	-57.458851	0.001267	0.012579
235	-54.935623	0.001148	0.000000
236	-54.748222	0.001198	0.006289
237	-53.210777	0.001448	0.018868
238	-56.131016	0.001082	0.031447
239	-56.029354	0.001069	0.025157
240	-54.419308	0.001259	0.006289
241	-54.903824	0.001186	0.018868
242	-51.918156	0.001805	0.006289
243	-53.056332	0.001646	0.006289
244	-57.523975	0.001365	0.018868
245	-57.013134	0.001263	0.037736
246	-56.056904	0.001490	0.012579
247	-56.121738	0.001268	0.037736
248	-54.318878	0.001069	0.025157
249	-55.656391	0.000993	0.025157
250	-54.767670	0.001039	0.018868
251	-53.504360	0.001297	0.006289
252	-55.064453	0.001330	0.031447
253	-55.723583	0.000956	0.037736
254	-58.189468	0.000689	0.044025
255	-57.339867	0.000893	0.006289
256	-59.537312	0.000691	0.037736
257	-61.774940	0.000611	0.044025
258	-63.792591	0.000654	0.025157
259	-65.184174	0.000680	0.044025
260	-60.575645	0.000903	0.006289
261	-59.283779	0.001019	0.018868
262	-59.345123	0.001061	0.031447
263	-56.265503	0.001320	0.006289
264	-64.077988	0.000728	0.044025
265	-60.259689	0.000843	0.018868
266	-59.194427	0.000726	0.050314
267	-60.952541	0.000566	0.037736
268	-62.195267	0.000470	0.069182
269	-64.873306	0.000544	0.031447
270	-59.455666	0.000863	0.012579
271	-62.731731	0.000718	0.037736
272	-61.378269	0.001005	0.012579
273	-59.782730	0.001292	0.012579
274	-56.363388	0.001081	0.031447
275	-59.011116	0.000772	0.031447
276	-63.577835	0.000542	0.025157
277	-57.732384	0.001029	0.044025
278	-54.716473	0.001560	0.088050
279	-55.123119	0.001559	0.081761
280	-52.046764	0.001956	0.094340
281	-50.547245	0.002535	0.069182
282	-49.270729	0.002843	0.094340
283	-50.372547	0.002998	0.075472
284	-47.191227	0.003561	0.062893
285	-45.064629	0.004288	0.106918
286	-44.270714	0.004577	0.062893
287	-46.059032	0.004876	0.056604
288	-49.307487	0.003097	0.106918
289	-51.151184	0.002665	0.132075
290	-46.415443	0.003324	0.044025
291	-44.951298	0.004408	0.075472
292	-42.145523	0.006314	0.088050
293	-41.473938	0.006269	0.081761
294	-40.617729	0.007672	0.088050
295	-43.763962	0.005736	0.119497
296	-44.788376	0.004609	0.119497
297	-43.922794	0.005329	0.119497
298	-45.500313	0.004070	0.113208
299	-46.831875	0.003435	0.106918
300	-43.082054	0.006032	0.031447
301	-44.600491	0.004633	0.050314
302	-47.343700	0.003962	0.056604
303	-42.250488	0.005887	0.031447
304	-45.001797	0.004606	0.050314
305	-45.549625	0.004472	0.044025
306	-45.835606	0.003896	0.056604
307	-47.208649	0.003299	0.050314
308	-49.547253	0.002528	0.069182
309	-53.808647	0.001845	0.081761
310	-49.098885	0.002655	0.037736
311	-53.886532	0.002114	0.062893
312	-50.079067	0.002160	0.062893
313	-55.644642	0.001867	0.050314
314	-46.411015	0.004109	0.037736
315	-44.769852	0.005541	0.069182
316	-44.597015	0.004653	0.062893
317	-45.006630	0.004907	0.094340
318	-44.545853	0.004685	0.088050
319	-45.940201	0.004960	0.075472
320	-42.817623	0.005568	0.069182
321	-43.388718	0.006887	0.075472
322	-43.861801	0.005559	0.094340
323	-49.351738	0.003605	0.069182
324	-49.090084	0.003767	0.037736
325	-49.752125	0.002674	0.094340
326	-51.586224	0.002114	0.081761
327	-44.118511	0.005222	0.050314
328	-42.398716	0.005556	0.069182
329	-43.558773	0.006598	0.056604
330	-45.159275	0.005041	0.075472
331	-46.638210	0.004149	0.069182
332	-44.120186	0.004976	0.069182
333	-46.501045	0.004845	0.138365
334	-41.651505	0.006322	0.100629
335	-44.689468	0.005191	0.119497
336	-43.702713	0.005654	0.094340
337	-46.340691	0.004156	0.106918
338	-43.146248	0.006144	0.075472
339	-44.736935	0.004458	0.106918
340	-43.934769	0.005136	0.094340
341	-43.849915	0.005595	0.094340
342	-45.495255	0.004374	0.157233
343	-44.303707	0.004011	0.132075
344	-44.286560	0.004718	0.094340
345	-46.077599	0.004038	0.088050
346	-41.829376	0.007332	0.062893
347	-41.659885	0.005801	0.081761
348	-43.228558	0.004940	0.056604
349	-45.073246	0.005033	0.075472
350	-44.452156	0.004032	0.094340
351	-44.571022	0.004852	0.044025
352	-45.473042	0.004586	0.069182
353	-44.397545	0.005094	0.062893
354	-44.631199	0.005218	0.062893
355	-44.619839	0.004443	0.062893
356	-46.108871	0.004403	0.069182
357	-44.222073	0.004022	0.056604
358	-44.290470	0.005155	0.062893
359	-44.850697	0.004234	0.062893
360	-50.394047	0.001987	0.044025
361	-49.359543	0.002839	0.069182
362	-47.826614	0.004001	0.069182
363	-47.315361	0.003387	0.062893
364	-46.814991	0.003996	0.062893
365	-47.392162	0.004035	0.069182
366	-47.850662	0.002989	0.069182
367	-46.781490	0.004071	0.075472
